gene	pathway
1026	hsa05163:K06625:
1026	hsa05165:K06625:
1026	hsa05166:K06625:
1026	hsa05167:K06625:
1026	hsa05169:K06625:
1026	hsa05200:K06625:
1026	hsa05202:K06625:
1026	hsa05203:K06625:
1026	hsa05205:K06625:
1026	hsa05206:K06625:
1026	hsa05210:K06625:
1026	hsa05211:K06625:
1026	hsa05212:K06625:
1026	hsa05213:K06625:
1026	hsa05214:K06625:
1026	hsa05215:K06625:
1026	hsa05216:K06625:
1026	hsa05217:K06625:
1026	hsa05218:K06625:
1026	hsa05219:K06625:
1026	hsa05220:K06625:
1026	hsa05222:K06625:
1026	hsa05223:K06625:
1026	hsa05224:K06625:
1026	hsa05225:K06625:
1026	hsa05226:K06625:
102723407	hsa04020:K06856:
102723407	hsa04064:K06856:
102723407	hsa04072:K06856:
102723407	hsa04145:K06856:
102723407	hsa04151:K06856:
102723407	hsa04640:K06856:
102723407	hsa04650:K06856:
102723407	hsa04662:K06856:
102723407	hsa04664:K06856:
102723407	hsa04666:K06856:
102723407	hsa04672:K06856:
102723407	hsa05140:K06856:
102723407	hsa05143:K06856:
102723407	hsa05146:K06856:
102723407	hsa05150:K06856:
102723407	hsa05152:K06856:
102723407	hsa05162:K06856:
102723407	hsa05169:K06856:
102723407	hsa05202:K06856:
102723407	hsa05310:K06856:
102723407	hsa05320:K06856:
102723407	hsa05322:K06856:
102723407	hsa05323:K06856:
102723407	hsa05330:K06856:
102723407	hsa05340:K06856:
102723407	hsa05414:K06856:
102723407	hsa05416:K06856:
102723532	hsa04740:K04257:
102723555	hsa04114:K08694:
102723555	hsa04914:K08694:
102723849	hsa04114:K08694:
102723849	hsa04914:K08694:
102723996	hsa04514:K06710:
102723996	hsa04672:K06710:
102724428	hsa04922:K19008:[EC:2.7.11.1]
102724560	hsa00260:K01697:[EC:4.2.1.22]
102724560	hsa00270:K01697:[EC:4.2.1.22]
102724594	hsa03040:K12836:
102724594	hsa05131:K12836:
102724652	hsa04141:K09541:
102724788	hsa00330:K00318:[EC:1.5.-.-]
102725035	hsa04380:K06512:
10273	hsa04120:K09561:[EC:2.3.2.27]
10273	hsa04141:K09561:[EC:2.3.2.27]
10274	hsa04110:K06671:
10277	hsa04120:K10597:[EC:2.3.2.27]
10277	hsa04141:K10597:[EC:2.3.2.27]
1027	hsa01522:K06624:
1027	hsa04012:K06624:
1027	hsa04066:K06624:
1027	hsa04068:K06624:
1027	hsa04110:K06624:
1027	hsa04151:K06624:
1027	hsa04933:K06624:
1027	hsa04934:K06624:
1027	hsa05161:K06624:
1027	hsa05162:K06624:
1027	hsa05165:K06624:
1027	hsa05169:K06624:
1027	hsa05200:K06624:
1027	hsa05202:K06624:
1027	hsa05203:K06624:
1027	hsa05206:K06624:
1027	hsa05215:K06624:
1027	hsa05220:K06624:
1027	hsa05222:K06624:
1027	hsa05226:K06624:
102800317	hsa04068:K08960:[EC:2.7.11.1]
102800317	hsa04310:K08960:[EC:2.7.11.1]
102800317	hsa04340:K08960:[EC:2.7.11.1]
102800317	hsa04390:K08960:[EC:2.7.11.1]
102800317	hsa04392:K08960:[EC:2.7.11.1]
