gene	GO_id	name	namespace
OR1C1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1D2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1D4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1D5	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1E1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1E2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1E3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1F12	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1F1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1F2P	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1G1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1I1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1J1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1J2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1J4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1K1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1L1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1L3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1L4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1L6	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1L8	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1M1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1N1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1N2	GO:0004930	G protein-coupled receptor activity	molecular_function
