Lineage	PATH
Bacteria	ko00571
Bacteria	ko00572
Bacteria	ko00983
Bacteria	ko05152
Bacteria	ko00333
Bacteria	ko00404
Bacteria	ko00522
Bacteria	ko00524
Bacteria	ko04621
Bacteria	ko04112
Bacteria	ko00601
Bacteria	ko00720
Bacteria	ko00591
Bacteria	ko05133
Bacteria	ko04626
Bacteria	ko00195
Bacteria	ko00196
Bacteria	ko00062
Bacteria	ko00073
Bacteria	ko05120
Bacteria	ko05100
Bacteria	ko05150
Bacteria	ko02026
Bacteria	ko05130
Bacteria	ko05132
Bacteria	ko05131
Bacteria	ko05110
Bacteria	ko05134
Bacteria	ko02025
Bacteria	ko05111
