Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T04867	nai	Necator americanus	51031		Eukaryotes; Animals; Nematodes
T01050	bmy	Brugia malayi	6279	filaria	Eukaryotes; Animals; Nematodes
T02664	loa	Loa loa	7209	eye worm	Eukaryotes; Animals; Nematodes
T01609	tsp	Trichinella spiralis	6334		Eukaryotes; Animals; Nematodes
T03272	hro	Helobdella robusta	6412		Eukaryotes; Animals; Annelids
T03273	lgi	Lottia gigantea	225164	owl limpet	Eukaryotes; Animals; Mollusks
T03920	crg	Crassostrea gigas	29159	Pacific oyster	Eukaryotes; Animals; Mollusks
T05079	myi	Mizuhopecten yessoensis	6573	Yesso scallop	Eukaryotes; Animals; Mollusks
T04127	obi	Octopus bimaculoides	37653		Eukaryotes; Animals; Mollusks
T04921	lak	Lingula anatina	7574		Eukaryotes; Animals; Brachiopodas
T01095	smm	Schistosoma mansoni	6183		Eukaryotes; Animals; Flatworms
T05004	shx	Schistosoma haematobium	6185		Eukaryotes; Animals; Flatworms
T04902	ovi	Opisthorchis viverrini	6198		Eukaryotes; Animals; Flatworms
T05553	egl	Echinococcus granulosus	6210		Eukaryotes; Animals; Flatworms
T01037	nve	Nematostella vectensis	45351	sea anemone	Eukaryotes; Animals; Cnidarians
T05080	epa	Exaiptasia pallida	1720309		Eukaryotes; Animals; Cnidarians
T04352	adf	Acropora digitifera	70779	stony coral	Eukaryotes; Animals; Cnidarians
T01080	hmg	Hydra vulgaris	6087		Eukaryotes; Animals; Cnidarians
T01069	tad	Trichoplax adhaerens	10228		Eukaryotes; Animals; Placozoans
T02284	aqu	Amphimedon queenslandica	400682	sponge	Eukaryotes; Animals; Poriferans
T00041	ath	Arabidopsis thaliana	3702	thale cress	Eukaryotes; Plants; Eudicots; Mustard family
T01578	aly	Arabidopsis lyrata	59689	lyrate rockcress	Eukaryotes; Plants; Eudicots; Mustard family
T02984	crb	Capsella rubella	81985		Eukaryotes; Plants; Eudicots; Mustard family
T05044	csat	Camelina sativa	90675	false flax	Eukaryotes; Plants; Eudicots; Mustard family
T02985	eus	Eutrema salsugineum	72664		Eukaryotes; Plants; Eudicots; Mustard family
T03449	brp	Brassica rapa	3711	field mustard	Eukaryotes; Plants; Eudicots; Mustard family
T04128	bna	Brassica napus	3708	rape	Eukaryotes; Plants; Eudicots; Mustard family
T04124	boe	Brassica oleracea	3712	wild cabbage	Eukaryotes; Plants; Eudicots; Mustard family
T04125	thj	Tarenaya hassleriana	28532	spider flower	Eukaryotes; Plants; Eudicots; Caper family
T05151	cpap	Carica papaya	3649	papaya	Eukaryotes; Plants; Eudicots; Papaya family
T02983	cit	Citrus sinensis	2711	Valencia orange	Eukaryotes; Plants; Eudicots; Rue family
T02982	cic	Citrus clementina	85681	mandarin orange	Eukaryotes; Plants; Eudicots; Rue family
T02994	tcc	Theobroma cacao	3641	cacao	Eukaryotes; Plants; Eudicots; Mallow family
T04129	gra	Gossypium raimondii	29730		Eukaryotes; Plants; Eudicots; Mallow family
T04793	ghi	Gossypium hirsutum	3635	upland cotton	Eukaryotes; Plants; Eudicots; Mallow family
T05242	dzi	Durio zibethinus	66656	durian	Eukaryotes; Plants; Eudicots; Mallow family
T03547	egr	Eucalyptus grandis	71139	rose gum	Eukaryotes; Plants; Eudicots; Myrtle family
T01710	gmx	Glycine max	3847	soybean	Eukaryotes; Plants; Eudicots; Pea family
T03093	pvu	Phaseolus vulgaris	3885	common bean	Eukaryotes; Plants; Eudicots; Pea family
T04126	vra	Vigna radiata	157791	mung bean	Eukaryotes; Plants; Eudicots; Pea family
T04660	var	Vigna angularis	3914	adzuki bean	Eukaryotes; Plants; Eudicots; Pea family
T04868	ccaj	Cajanus cajan	3821	pigeon pea	Eukaryotes; Plants; Eudicots; Pea family
T01716	mtr	Medicago truncatula	3880	barrel medic	Eukaryotes; Plants; Eudicots; Pea family
T02819	cam	Cicer arietinum	3827	chickpea	Eukaryotes; Plants; Eudicots; Pea family
T04348	lja	Lotus japonicus	34305		Eukaryotes; Plants; Eudicots; Pea family
T04300	adu	Arachis duranensis	130453		Eukaryotes; Plants; Eudicots; Pea family
T04301	aip	Arachis ipaensis	130454		Eukaryotes; Plants; Eudicots; Pea family
T04664	lang	Lupinus angustifolius	3871	narrow-leaved blue lupine	Eukaryotes; Plants; Eudicots; Pea family
T02666	fve	Fragaria vesca	57918	woodland strawberry	Eukaryotes; Plants; Eudicots; Rose family
T03092	pper	Prunus persica	3760	peach	Eukaryotes; Plants; Eudicots; Rose family
T03196	pmum	Prunus mume	102107	Japanese apricot	Eukaryotes; Plants; Eudicots; Rose family
T05161	pavi	Prunus avium	42229	sweet cherry	Eukaryotes; Plants; Eudicots; Rose family
T03194	mdm	Malus domestica	3750	apple	Eukaryotes; Plants; Eudicots; Rose family
T03446	pxb	Pyrus x bretschneideri	225117	Chinese white pear	Eukaryotes; Plants; Eudicots; Rose family
T04794	zju	Ziziphus jujuba	326968	Chinese jujube	Eukaryotes; Plants; Eudicots; Buckthorn family
T02486	csv	Cucumis sativus	3659	cucumber	Eukaryotes; Plants; Eudicots; Cucumber family
T03195	cmo	Cucumis melo	3656	muskmelon	Eukaryotes; Plants; Eudicots; Cucumber family
T05045	mcha	Momordica charantia	3673	bitter melon	Eukaryotes; Plants; Eudicots; Cucumber family
T05246	cmax	Cucurbita maxima	3661	winter squash	Eukaryotes; Plants; Eudicots; Cucumber family
T05248	cmos	Cucurbita moschata	3662	crookneck pumpkin	Eukaryotes; Plants; Eudicots; Cucumber family
T05351	cpep	Cucurbita pepo subsp. pepo		vegetable marrow	Eukaryotes; Plants; Eudicots; Cucumber family
T01087	rcu	Ricinus communis	3988	castor bean	Eukaryotes; Plants; Eudicots; Spurge family
T03922	jcu	Jatropha curcas	180498		Eukaryotes; Plants; Eudicots; Spurge family
T05150	hbr	Hevea brasiliensis	3981	rubber tree	Eukaryotes; Plants; Eudicots; Spurge family
T01077	pop	Populus trichocarpa	3694	black cottonwood	Eukaryotes; Plants; Eudicots; Willow family
T05245	jre	Juglans regia	51240	English walnut	Eukaryotes; Plants; Eudicots; Walnut family
T01084	vvi	Vitis vinifera	29760	wine grape	Eukaryotes; Plants; Eudicots; Grape family
T02665	sly	Solanum lycopersicum	4081	tomato	Eukaryotes; Plants; Eudicots; Nightshade family
T04130	spen	Solanum pennellii	28526		Eukaryotes; Plants; Eudicots; Nightshade family
T02981	sot	Solanum tuberosum	4113	potato	Eukaryotes; Plants; Eudicots; Nightshade family
T04646	cann	Capsicum annuum	4072		Eukaryotes; Plants; Eudicots; Nightshade family
T04643	nta	Nicotiana tabacum	4097	common tobacco	Eukaryotes; Plants; Eudicots; Nightshade family
T05026	nsy	Nicotiana sylvestris	4096		Eukaryotes; Plants; Eudicots; Nightshade family
T05025	nto	Nicotiana tomentosiformis	4098		Eukaryotes; Plants; Eudicots; Nightshade family
T04663	ini	Ipomoea nil	35883	Japanese morning glory	Eukaryotes; Plants; Eudicots; Morning-glory family
