Pseudoalteromonas sp. SM9913	234831
Pseudoalteromonas sp. OCN003	1348114
Pseudoalteromonas issachenkonii	152297
Pseudoalteromonas phenolica	161398
Pseudoalteromonas sp. Bsw20308	283699
Pseudoalteromonas rubra	43658
Pseudoalteromonas translucida	166935
Pseudoalteromonas luteoviolacea	43657
Pseudoalteromonas aliena	247523
Pseudoalteromonas piscicida	43662
Pseudoalteromonas espejiana	28107
Pseudoalteromonas spongiae	298657
Pseudoalteromonas arctica	394751
Pseudoalteromonas tunicata	314281
Pseudoalteromonas nigrifaciens	28109
Pseudoalteromonas tetraodonis	43659
Pseudoalteromonas sp. NC201	1514074
Marinobacter hydrocarbonoclasticus	2743
Marinobacter adhaerens	1033846
Marinobacter sp. BSs20148	490759
Marinobacter salarius	1420917
Marinobacter similis	1420916
Marinobacter psychrophilus	330734
Marinobacter sp. CP1	1671721
Marinobacter sp. LQ44	1749259
Marinobacter salinus	1874317
Alteromonas mediterranea	314275
Alteromonas macleodii	28108
Alteromonas sp. SN2	715451
Alteromonas australica	589873
Alteromonas stellipolaris	233316
Alteromonas addita	287094
Glaciecola sp. 4H-3-7+YE-5	983545
Glaciecola nitratireducens	300231
Paraglaciecola psychrophila	326544
Lacimicrobium alkaliphilum	1526571
Catenovulum sp. CCB-QB4	2172099
Salinimonas sp. HMF8227	2183582
Psychromonas ingrahamii	357794
Psychromonas sp. CNPT3	314282
Ferrimonas balearica	44012
Moritella viscosa	80854
Moritella yayanosii	69539
Cellvibrio japonicus	155077
Cellvibrio sp. PSBB023	1945512
Cellvibrio sp. PSBB006	1987723
Saccharophagus degradans	86304
Teredinibacter turnerae	2426
Simiduia agarivorans	447471
Spongiibacter sp. IMCC21906	1620392
Zhongshania aliphaticivorans	1470434
Oceanicoccus sagamiensis	716816
Microbulbifer thermotolerans	252514
Microbulbifer sp. CCB-MM1	1769779
Microbulbifer agarilyticus	260552
Microbulbifer sp. A4B17	359370
Halioglobus japonicus	930805
Coxiella burnetii	777
